,slide_metaphoric,other_None,camera_metaphoric,look_down_iconic,look_away_slide_None,slide_beats,camera_None,look_away_slide_iconic,look_away_slide_beats,camera_beats,slide_None,other_beats,other_deictic,look_down_None,look_away_slide_metaphoric,slide_deictic,look_down_metaphoric,other_metaphoric,camera_iconic,look_down_beats,camera_deictic
slide_metaphoric,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
other_None,0.047619047619047616,0.19047619047619047,0.0,0.0,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
camera_metaphoric,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0
look_down_iconic,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look_away_slide_None,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.4,0.05,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0
slide_beats,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
camera_None,0.0,0.028985507246376812,0.043478260869565216,0.0,0.07246376811594203,0.043478260869565216,0.2028985507246377,0.0,0.11594202898550725,0.2318840579710145,0.043478260869565216,0.014492753623188406,0.0,0.014492753623188406,0.0,0.15942028985507245,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406
look_away_slide_iconic,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look_away_slide_beats,0.0,0.034482758620689655,0.0,0.0,0.06896551724137931,0.034482758620689655,0.3103448275862069,0.0,0.06896551724137931,0.27586206896551724,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.0,0.0,0.0,0.0
camera_beats,0.0,0.07142857142857142,0.017857142857142856,0.0,0.125,0.07142857142857142,0.23214285714285715,0.017857142857142856,0.125,0.21428571428571427,0.0,0.05357142857142857,0.017857142857142856,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.017857142857142856,0.0
slide_None,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_beats,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
other_deictic,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
look_down_None,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look_away_slide_metaphoric,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slide_deictic,0.0,0.12,0.04,0.0,0.0,0.0,0.24,0.0,0.0,0.04,0.08,0.04,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.28
look_down_metaphoric,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
other_metaphoric,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
camera_iconic,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
look_down_beats,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
camera_deictic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111
