look_away_slide beats
camera beats
camera beats
look_away_slide None
camera None
slide beats
camera None
look_away_slide beats
look_away_slide beats
camera beats
other None
look_away_slide None
camera beats
look_away_slide None
camera beats
camera None
camera None
look_away_slide metaphoric
camera metaphoric
slide metaphoric
camera None
camera beats
camera None
slide beats
camera beats
other beats
camera beats
camera beats
camera beats
slide deictic
other beats
look_away_slide metaphoric
look_down metaphoric
camera metaphoric
camera None
camera None
other beats
other None
look_away_slide None
other deictic
slide None
camera None
other None
look_away_slide beats
camera None
camera beats
look_away_slide None
camera None
other None
look_away_slide beats
look_away_slide None
other metaphoric
other None
look_away_slide None
other None
slide beats
camera None
look_away_slide beats
other None
camera beats
other None
other None
slide beats
camera None
camera beats
slide deictic
slide deictic
other deictic
camera beats
camera beats
look_away_slide None
look_down None
camera beats
camera deictic
camera deictic
camera deictic
camera beats
look_away_slide beats
camera None
camera None
camera None
slide beats
camera None
camera metaphoric
look_away_slide None
camera None
camera beats
camera None
camera beats
camera metaphoric
camera None
look_away_slide None
camera metaphoric
look_down metaphoric
camera metaphoric
camera None
look_away_slide iconic
camera iconic
slide iconic
camera iconic
other iconic
camera metaphoric
camera None
camera None
look_away_slide beats
camera None
slide beats
camera None
slide deictic
camera beats
look_away_slide beats
camera None
camera metaphoric
camera None
look_away_slide None
camera deictic
camera None
slide deictic
slide deictic
camera deictic
look_away_slide metaphoric
camera metaphoric
camera metaphoric
camera metaphoric
camera metaphoric
other metaphoric
camera beats
look_away_slide metaphoric
other metaphoric
slide metaphoric
camera metaphoric
camera None
slide deictic
slide deictic
camera deictic
camera deictic
look_away_slide beats
look_away_slide metaphoric
camera None
slide deictic
camera None
camera metaphoric
look_away_slide metaphoric
camera None
camera metaphoric
other metaphoric
camera metaphoric
camera None
slide beats
camera None
slide deictic
other None
look_away_slide None
camera None
camera deictic
camera None
camera None
look_away_slide deictic
look_away_slide deictic
camera deictic
camera None
other deictic
other None
other None
other None
other None
slide None
camera None
camera beats
slide beats
look_away_slide None
look_away_slide beats
camera None
camera beats
camera None
look_away_slide None
camera beats
camera metaphoric
camera None
look_away_slide None
camera beats
camera None
camera None
slide beats
camera None
look_away_slide beats
look_away_slide None
slide None
slide beats
other None
other metaphoric
camera None
look_away_slide None
camera None
slide deictic
camera deictic
camera deictic
slide deictic
camera deictic
look_away_slide beats
camera beats
slide iconic
other None
look_away_slide beats
camera metaphoric
camera None
camera None
look_away_slide None
camera None
slide None
camera None
camera beats
camera None
slide None
slide None
camera None
look_away_slide beats
look_down beats
slide None
camera beats
look_away_slide None
look_away_slide None
slide beats
camera beats
camera beats
look_away_slide beats
other None
camera beats
slide beats
slide beats
camera beats
camera beats
look_away_slide None
camera None
camera beats
camera None
camera None
look_away_slide beats
look_away_slide None
slide deictic
camera None
other None
look_away_slide None
camera metaphoric
look_down None
look_away_slide None
camera None
camera None
slide beats
camera metaphoric
look_away_slide None
camera None
slide None
slide None
camera beats
camera metaphoric
camera None
look_down None
slide beats
camera None
look_away_slide beats
slide metaphoric
slide deictic
camera deictic
camera metaphoric
camera metaphoric
camera metaphoric
camera metaphoric
other None
slide None
camera beats
camera None
camera None
camera None
slide None
camera None
look_away_slide None
look_away_slide beats
camera None
other None
other None
other None
look_away_slide beats
other None
slide None
camera None
look_away_slide beats
camera None
camera None
slide beats
other None
slide beats
camera None
look_away_slide beats
look_away_slide good
