(('camera_None'	 'camera_beats')	 'camera_None'),5
(('camera_None'	 'slide_beats')	 'camera_None'),5
(('slide_beats'	 'camera_None')	 'look_away_slide_beats'),5
(('camera_beats'	 'camera_None')	 'camera_None'),4
(('camera_metaphoric'	 'camera_metaphoric')	 'camera_metaphoric'),4
(('camera_None'	 'camera_None')	 'slide_beats'),4
(('camera_beats'	 'camera_beats')	 'look_away_slide_None'),3
(('camera_beats'	 'camera_metaphoric')	 'camera_None'),3
(('camera_beats'	 'look_away_slide_None')	 'camera_None'),3
(('camera_metaphoric'	 'camera_None')	 'camera_None'),3
(('camera_metaphoric'	 'camera_None')	 'look_away_slide_None'),3
(('other_None'	 'slide_beats')	 'camera_None'),3
(('other_None'	 'other_None')	 'other_None'),3
(('camera_beats'	 'look_away_slide_beats')	 'camera_None'),2
(('camera_metaphoric'	 'look_away_slide_None')	 'camera_None'),2
(('camera_None'	 'camera_None')	 'camera_None'),2
(('camera_None'	 'camera_None')	 'look_away_slide_beats'),2
(('camera_None'	 'look_away_slide_beats')	 'camera_None'),2
(('camera_None'	 'look_away_slide_beats')	 'look_away_slide_None'),2
(('camera_None'	 'look_away_slide_None')	 'camera_beats'),2
(('camera_None'	 'look_away_slide_None')	 'camera_None'),2
(('camera_None'	 'slide_deictic')	 'slide_deictic'),2
(('camera_None'	 'slide_None')	 'camera_None'),2
(('camera_None'	 'slide_None')	 'slide_None'),2
(('camera_None'	 'other_None')	 'look_away_slide_beats'),2
(('look_away_slide_beats'	 'camera_None')	 'camera_beats'),2
(('look_away_slide_beats'	 'camera_None')	 'camera_None'),2
(('look_away_slide_beats'	 'other_None')	 'camera_beats'),2
(('look_away_slide_None'	 'camera_beats')	 'camera_None'),2
(('look_away_slide_None'	 'camera_None')	 'camera_beats'),2
(('look_away_slide_None'	 'camera_None')	 'slide_None'),2
(('look_away_slide_None'	 'look_away_slide_beats')	 'camera_None'),2
(('slide_beats'	 'camera_beats')	 'camera_beats'),2
(('slide_beats'	 'camera_None')	 'slide_deictic'),2
(('slide_deictic'	 'camera_deictic')	 'camera_deictic'),2
(('slide_deictic'	 'slide_deictic')	 'camera_deictic'),2
(('slide_None'	 'camera_None')	 'camera_beats'),2
(('slide_None'	 'camera_None')	 'look_away_slide_beats'),2
(('look_down_metaphoric'	 'camera_metaphoric')	 'camera_None'),2
(('other_None'	 'slide_None')	 'camera_None'),2
(('camera_beats'	 'camera_beats')	 'camera_beats'),1
(('camera_beats'	 'camera_beats')	 'look_away_slide_beats'),1
(('camera_beats'	 'camera_beats')	 'slide_deictic'),1
(('camera_beats'	 'camera_deictic')	 'camera_deictic'),1
(('camera_beats'	 'camera_None')	 'camera_beats'),1
(('camera_beats'	 'camera_None')	 'look_away_slide_None'),1
(('camera_beats'	 'camera_None')	 'slide_beats'),1
(('camera_beats'	 'camera_None')	 'slide_None'),1
(('camera_beats'	 'look_away_slide_beats')	 'other_None'),1
(('camera_beats'	 'look_away_slide_metaphoric')	 'other_metaphoric'),1
(('camera_beats'	 'look_away_slide_None')	 'camera_beats'),1
(('camera_beats'	 'look_away_slide_None')	 'look_away_slide_None'),1
(('camera_beats'	 'look_away_slide_None')	 'look_down_None'),1
(('camera_beats'	 'slide_beats')	 'look_away_slide_None'),1
(('camera_beats'	 'slide_beats')	 'slide_beats'),1
(('camera_beats'	 'slide_deictic')	 'slide_deictic'),1
(('camera_beats'	 'slide_deictic')	 'other_beats'),1
(('camera_beats'	 'slide_iconic')	 'other_None'),1
(('camera_beats'	 'other_beats')	 'camera_beats'),1
(('camera_beats'	 'other_None')	 'look_away_slide_None'),1
(('camera_beats'	 'other_None')	 'other_None'),1
(('camera_metaphoric'	 'camera_metaphoric')	 'other_metaphoric'),1
(('camera_metaphoric'	 'camera_metaphoric')	 'other_None'),1
(('camera_metaphoric'	 'camera_None')	 'look_away_slide_iconic'),1
(('camera_metaphoric'	 'camera_None')	 'slide_beats'),1
(('camera_metaphoric'	 'camera_None')	 'slide_deictic'),1
(('camera_metaphoric'	 'camera_None')	 'look_down_None'),1
(('camera_metaphoric'	 'look_away_slide_metaphoric')	 'camera_None'),1
(('camera_metaphoric'	 'slide_metaphoric')	 'camera_None'),1
(('camera_metaphoric'	 'look_down_metaphoric')	 'camera_metaphoric'),1
(('camera_metaphoric'	 'look_down_None')	 'look_away_slide_None'),1
(('camera_metaphoric'	 'other_metaphoric')	 'camera_beats'),1
(('camera_metaphoric'	 'other_metaphoric')	 'camera_metaphoric'),1
(('camera_metaphoric'	 'other_None')	 'slide_None'),1
(('camera_deictic'	 'camera_beats')	 'look_away_slide_beats'),1
(('camera_deictic'	 'camera_metaphoric')	 'camera_metaphoric'),1
(('camera_deictic'	 'camera_deictic')	 'camera_beats'),1
