,slide_metaphoric,other_iconic,other_None,look_away_slide_good,camera_metaphoric,look_away_slide_deictic,look_away_slide_None,slide_beats,camera_None,look_away_slide_iconic,look_away_slide_beats,camera_beats,other_beats,slide_None,slide_iconic,other_deictic,look_down_None,look_away_slide_metaphoric,slide_deictic,look_down_metaphoric,other_metaphoric,camera_iconic,look_down_beats,camera_deictic
slide_metaphoric,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
other_iconic,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_None,0.0,0.0,0.25,0.0,0.0,0.0,0.20833333333333334,0.125,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
look_away_slide_good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camera_metaphoric,0.04,0.0,0.04,0.0,0.24,0.0,0.08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.08,0.0,0.0,0.0
look_away_slide_deictic,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
look_away_slide_None,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.34615384615384615,0.0,0.07692307692307693,0.15384615384615385,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464
slide_beats,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.5294117647058824,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camera_None,0.0,0.0,0.056338028169014086,0.0,0.056338028169014086,0.014084507042253521,0.09859154929577464,0.11267605633802817,0.18309859154929578,0.014084507042253521,0.1267605633802817,0.1267605633802817,0.014084507042253521,0.056338028169014086,0.0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.08450704225352113,0.0,0.0,0.0,0.0,0.014084507042253521
look_away_slide_iconic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0
look_away_slide_beats,0.045454545454545456,0.0,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.0,0.3181818181818182,0.0,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
camera_beats,0.0,0.0,0.05555555555555555,0.0,0.08333333333333333,0.0,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.0,0.08333333333333333,0.16666666666666666,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.027777777777777776
other_beats,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
slide_None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.5,0.0,0.0,0.25,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slide_iconic,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
other_deictic,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look_down_None,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
