,other_None,other_metaphoric,camera_None,slide_beats,camera_metaphoric,slide_metaphoric,look_down_metaphoric,slide_None,camera_beats,look_away_slide_beats,other_beats,look_down_None,look_away_slide_metaphoric,look_down_beats,look_away_slide_None
other_None,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.125
other_metaphoric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
camera_None,0.0,0.017857142857142856,0.19642857142857142,0.16071428571428573,0.05357142857142857,0.0,0.017857142857142856,0.10714285714285714,0.17857142857142858,0.125,0.0,0.0,0.017857142857142856,0.017857142857142856,0.10714285714285714
slide_beats,0.08823529411764706,0.0,0.20588235294117646,0.14705882352941177,0.029411764705882353,0.0,0.029411764705882353,0.058823529411764705,0.23529411764705882,0.08823529411764706,0.08823529411764706,0.0,0.0,0.029411764705882353,0.0
camera_metaphoric,0.0,0.0,0.375,0.0,0.1875,0.125,0.0,0.125,0.0625,0.0625,0.0,0.0,0.0625,0.0,0.0
slide_metaphoric,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look_down_metaphoric,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slide_None,0.0,0.0,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0
camera_beats,0.03636363636363636,0.01818181818181818,0.10909090909090909,0.14545454545454545,0.09090909090909091,0.01818181818181818,0.0,0.05454545454545454,0.21818181818181817,0.16363636363636364,0.01818181818181818,0.0,0.01818181818181818,0.0,0.10909090909090909
look_away_slide_beats,0.0,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.36666666666666664,0.2,0.03333333333333333,0.0,0.0,0.03333333333333333,0.13333333333333333
other_beats,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.1
look_down_None,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
look_away_slide_metaphoric,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
look_down_beats,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
look_away_slide_None,0.0,0.0,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.13636363636363635
